nome_empresa,setor,uf_sede,regiao_sede,faturamento_anual,lucro_liquido,potencial_investimento,score_empresa,site,descricao
Rolemar,Outros,N/D,Nacional,103608520,10360852,420910,0.7166,,LIE: R$0.3M | Rouanet: R$1.0M | Total historico 2022-2025: R$1.3M
Helisul Aviacao,Outros,N/D,Nacional,108272000,10827200,439855,0.7164,,LIE: R$0.3M | Rouanet: R$1.1M | Total historico 2022-2025: R$1.4M
Estevao Caputto,Outros,N/D,Nacional,73760000,7376000,299650,0.7164,,LIE: R$0.5M | Rouanet: R$0.4M | Total historico 2022-2025: R$0.9M
Comtrafo,Outros,N/D,Nacional,96183478,9618348,390745,0.7163,,LIE: R$0.3M | Rouanet: R$0.9M | Total historico 2022-2025: R$1.2M
Docol,Outros,N/D,Nacional,91398810,9139881,371308,0.7162,,LIE: R$0.4M | Rouanet: R$0.8M | Total historico 2022-2025: R$1.1M
Industria Rei,Outros,N/D,Nacional,62720000,6272000,254800,0.7162,,LIE: R$0.7M | Rouanet: R$0.1M | Total historico 2022-2025: R$0.8M
Grupo Sankhia,Outros,N/D,Nacional,88877538,8887754,361065,0.7162,,LIE: R$0.4M | Rouanet: R$0.7M | Total historico 2022-2025: R$1.1M
Aec Centro De Contatos,Outros,N/D,Nacional,88000000,8800000,357500,0.7161,,LIE: R$0.4M | Rouanet: R$0.7M | Total historico 2022-2025: R$1.1M
Postos Pelanda,Outros,N/D,Nacional,80809165,8080916,328287,0.7161,,LIE: R$0.4M | Rouanet: R$0.6M | Total historico 2022-2025: R$1.0M
Banco Nacional De Investimentos S.A.,Financeiro,N/D,Nacional,87680000,8768000,356200,0.7159,,LIE: R$0.4M | Rouanet: R$0.7M | Total historico 2022-2025: R$1.1M
D' Granel Transportes E Comercio,Outros,N/D,Nacional,89275986,8927599,362684,0.7159,,LIE: R$0.4M | Rouanet: R$0.8M | Total historico 2022-2025: R$1.1M
Cereser,Outros,N/D,Nacional,108132526,10813253,439288,0.7158,,LIE: R$0.3M | Rouanet: R$1.1M | Total historico 2022-2025: R$1.4M
C-Pack,Outros,N/D,Nacional,95666668,9566667,388646,0.7157,,LIE: R$0.3M | Rouanet: R$0.9M | Total historico 2022-2025: R$1.2M
Estel,Outros,N/D,Nacional,89170200,8917020,362254,0.7157,,LIE: R$0.4M | Rouanet: R$0.8M | Total historico 2022-2025: R$1.1M
Igua,Outros,N/D,Nacional,91881760,9188176,373270,0.7157,,LIE: R$0.3M | Rouanet: R$0.8M | Total historico 2022-2025: R$1.1M
Bnp Paribas,Outros,N/D,Nacional,95200000,9520000,386750,0.7156,,LIE: R$0.3M | Rouanet: R$0.9M | Total historico 2022-2025: R$1.2M
Santa Helena Saude,Saúde,N/D,Nacional,83194850,8319485,337979,0.7154,,LIE: R$0.4M | Rouanet: R$0.6M | Total historico 2022-2025: R$1.0M
Clamed,Outros,N/D,Nacional,94360000,9436000,383338,0.7153,,LIE: R$0.3M | Rouanet: R$0.9M | Total historico 2022-2025: R$1.2M
Supley,Outros,N/D,Nacional,66782015,6678202,271302,0.7153,,LIE: R$0.6M | Rouanet: R$0.3M | Total historico 2022-2025: R$0.8M
Agrodanieli,Outros,N/D,Nacional,93727296,9372730,380767,0.7153,,LIE: R$0.3M | Rouanet: R$0.8M | Total historico 2022-2025: R$1.2M
Cobra Rolamentos,Outros,N/D,Nacional,73040000,7304000,296725,0.7152,,LIE: R$0.5M | Rouanet: R$0.4M | Total historico 2022-2025: R$0.9M
Fiori (Fiat),Automotivo,N/D,Nacional,91800000,9180000,372938,0.7152,,LIE: R$0.3M | Rouanet: R$0.8M | Total historico 2022-2025: R$1.1M
Omni,Outros,N/D,Nacional,89036769,8903677,361712,0.7151,,LIE: R$0.3M | Rouanet: R$0.8M | Total historico 2022-2025: R$1.1M
Andra Materiais Eletricos,Outros,N/D,Nacional,76634322,7663432,311327,0.7151,,LIE: R$0.5M | Rouanet: R$0.5M | Total historico 2022-2025: R$1.0M
Gera Amazonas,Tecnologia,SP,Sudeste,144000000,14400000,585000,0.715,,LIE: R$0.1M | Rouanet: R$1.6M | Total historico 2022-2025: R$1.8M
Texneo Tecidos,Outros,N/D,Nacional,90029872,9002987,365746,0.715,,LIE: R$0.3M | Rouanet: R$0.8M | Total historico 2022-2025: R$1.1M
Navarra,Outros,N/D,Nacional,94451607,9445161,383710,0.715,,LIE: R$0.3M | Rouanet: R$0.9M | Total historico 2022-2025: R$1.2M
Agc Brasil,Outros,N/D,Nacional,81656004,8165600,331728,0.7149,,LIE: R$0.4M | Rouanet: R$0.6M | Total historico 2022-2025: R$1.0M
Excim Importacao E Exportacao,Outros,N/D,Nacional,124743368,12474337,506770,0.7148,,LIE: R$0.2M | Rouanet: R$1.4M | Total historico 2022-2025: R$1.6M
Paraflu,Outros,N/D,Nacional,86400000,8640000,351000,0.7148,,LIE: R$0.4M | Rouanet: R$0.7M | Total historico 2022-2025: R$1.1M
Pastificio Selmi,Outros,N/D,Nacional,83280000,8328000,338325,0.7146,,LIE: R$0.4M | Rouanet: R$0.7M | Total historico 2022-2025: R$1.0M
Banco Do Estado De Sergipe,Financeiro,CE,Nordeste,180880000,18088000,734825,0.7146,,LIE: R$0.1M | Rouanet: R$2.2M | Total historico 2022-2025: R$2.3M
Momentive,Outros,N/D,Nacional,94720000,9472000,384800,0.7145,,LIE: R$0.3M | Rouanet: R$0.9M | Total historico 2022-2025: R$1.2M
Usina Vertente,Outros,N/D,Nacional,86791834,8679183,352592,0.7145,,LIE: R$0.4M | Rouanet: R$0.7M | Total historico 2022-2025: R$1.1M
Guabifios,Outros,N/D,Nacional,89188400,8918840,362328,0.7145,,LIE: R$0.3M | Rouanet: R$0.8M | Total historico 2022-2025: R$1.1M
Viprado,Outros,N/D,Nacional,83240000,8324000,338162,0.7145,,LIE: R$0.4M | Rouanet: R$0.7M | Total historico 2022-2025: R$1.0M
Grupo Comporte,Outros,N/D,Nacional,90902400,9090240,369291,0.7143,,LIE: R$0.3M | Rouanet: R$0.8M | Total historico 2022-2025: R$1.1M
Essential Nutrition,Outros,N/D,Nacional,75200000,7520000,305500,0.7142,,LIE: R$0.4M | Rouanet: R$0.5M | Total historico 2022-2025: R$0.9M
Unimed Sc,Saúde,N/D,Nacional,81947348,8194735,332911,0.7141,,LIE: R$0.4M | Rouanet: R$0.6M | Total historico 2022-2025: R$1.0M
Fortlev,Outros,N/D,Nacional,92423996,9242400,375472,0.7139,,LIE: R$0.3M | Rouanet: R$0.9M | Total historico 2022-2025: R$1.2M
Fidens,Outros,N/D,Nacional,80106547,8010655,325433,0.7139,,LIE: R$0.4M | Rouanet: R$0.6M | Total historico 2022-2025: R$1.0M
Metisa,Outros,N/D,Nacional,84160000,8416000,341900,0.7139,,LIE: R$0.4M | Rouanet: R$0.7M | Total historico 2022-2025: R$1.1M
Ibema,Outros,N/D,Nacional,87204297,8720430,354267,0.7138,,LIE: R$0.3M | Rouanet: R$0.8M | Total historico 2022-2025: R$1.1M
Cesp,Outros,N/D,Nacional,96235885,9623588,390958,0.7136,,LIE: R$0.3M | Rouanet: R$0.9M | Total historico 2022-2025: R$1.2M
