processo,proponente,nome_projeto,sli,manifestacao,modalidade_esportiva,cnpj,municipio,uf,regiao,valor_aprovado,valor_captado,saldo_disponivel,percentual_captado,data_publicacao,data_inicio_captacao,data_fim_captacao,ano_aprovacao,status,score_prioridade,is_real
71000.072920/2024-53,Instituto Sobralense de Esporte e Cultur,Escolinha de Futsal de Sobral,2405387,Educacional,Futsal,47.310.869/0001-04,,CE,Nordeste,199443.7,0.0,199443.7,0.0,2025-02-12,2025-02-12,2026-12-23,2025,Captando,0.745,True
71000.073594/2024-00,Instituto JGFActive 4 Ever,Saltando Para o Futuro Tocantins,2405627,Educacional,Atletismo,47.335.258/0001-02,,SP,Sudeste,383902.2,0.0,383902.2,0.0,2025-02-12,2025-02-12,2027-01-13,2025,Captando,0.745,True
71000.053940/2024-25,Instituto Unimed Santa Catarina,Esporte Comunitário - Chapeco,2402982,Educacional,Basquete/Handebol Indoor/Outros,11.407.122/0001-13,Joinville,SC,Sul,512845.24,0.0,512845.24,0.0,2024-10-11,2024-10-11,2026-10-01,2024,Captando,0.745,True
71000.029880/2024-20,Mundaú Mundo Negócios Sociais,Mundaú Campeão,2400902,Educacional,Futsal/Jiu Jitsu,49.445.079/0001-53,Maceió,AL,Nordeste,516088.33,0.0,516088.33,0.0,2024-10-11,2024-10-11,2026-10-01,2024,Captando,0.745,True
71000.085756/2025-25,Associação dos Feirantes Produtores do Pequia,AFEPPE e Esporte transformando vidas,2502449,Participação,Futebol/Futsal,45.365.852/0001-10,Açailândia,MA,Nordeste,364796.12,0.0,364796.12,0.0,2026-03-13,2026-03-13,2028-01-15,2026,Captando,0.715,True
71000.102570/2025-48,Associação de Promoção Humana e Resgate da Cidadania,Esporte Para Todos,2502597,Participação,"Futsal
Futsal/Outros",04.422.261/0001-50,São Bernardo do Campo,SP,Sudeste,83390.0,0.0,83390.0,0.0,2026-04-24,2026-04-24,2027-11-13,2026,Captando,0.715,True
71000.103571/2025-18,Associação de Ginástica Esporte e Cultura São Vicente,Bem Start,2503437,Participação,Outros,14.407.896/0001-32,São Paulo,SP,Sudeste,402215.4,0.0,402215.4,0.0,2026-03-13,2026-03-13,2028-02-27,2026,Captando,0.715,True
71000.042900/2024-58,Bom Jesus dos Perdoes Sport Club S.A.F.,Base BJP SPORT CLUB,2401882,Participação,Futebol,04.681.089/0001-50,,SP,Sudeste,903181.92,0.0,903181.92,0.0,2025-02-12,2025-02-12,2026-12-23,2025,Captando,0.715,True
71000.062574/2024-03,Instituto Educare,Circuito de Travessias Acqua,2403751,Participação,Natação,08.489.137/0001-63,,BA,Nordeste,1387199.22,0.0,1387199.22,0.0,2024-12-13,2024-12-13,2026-12-04,2024,Captando,0.715,True
71000.063465/2024-03,Federação de Automobilismo do Distrito Federal,Arthur Pavie Império Endurance Brasi,2403888,Participação,Outros,07.481.027/0001-92,,DF,Centro-Oeste,1730296.8,0.0,1730296.8,0.0,2024-12-13,2024-12-13,2026-12-04,2024,Captando,0.715,True
71000.063298/2024-92,Federação Alagoana de Handebol,Handebol Sem Limites,2403851,Participação,Outros,09.315.581/0001-25,,AL,Nordeste,1947126.26,0.0,1947126.26,0.0,2024-12-13,2024-12-13,2026-12-04,2024,Captando,0.715,True
